Wavenumber [cm^-1];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.];Intensity [a.u.]
;t0;t1;t2;t3;t4;t5
174,6391;0,002136272;9,92E-04;0,004698232;0,002646011;0,001973309;0,003696644
175,60336;0,002320203;4,83E-04;0,004837994;0,002683032;0,001689512;0,003344147
176,56762;0,002354142;5,40E-05;0,004497762;0,002280056;0,002055719;0,003381655
177,53188;0,002128088;-6,51E-05;0,003977536;0,001617085;0,00284193;0,003419167
178,49614;0,00191204;7,58E-05;0,003577316;0,001534119;0,003578146;0,003236684
179,4604;0,001715999;1,47E-04;0,003357101;0,002251156;0,003704366;0,003094205
180,42466;0,001349965;-4,23E-05;0,003216892;0,003158198;0,00320059;0,003021731
181,38892;8,94E-04;-2,71E-04;0,002966689;0,003725244;0,002676819;0,002659261
182,35318;5,98E-04;-2,50E-04;0,002586491;0,003852294;0,002583051;0,002246796
183,31744;5,42E-04;-1,10E-04;0,002306298;0,003689348;0,002809288;0,002434335
184,2817;6,36E-04;-1,19E-04;0,002376111;0,003486406;0,002965529;0,003181878
185,24596;7,30E-04;4,23E-05;0,002605929;0,003393468;0,002791773;0,003979425
186,21023;8,34E-04;6,73E-04;0,002665753;0,003290534;0,002558022;0,004446976
187,17449;0,0010579;0,001184256;0,002595581;0,002887603;0,002614274;0,004184532
188,13875;0,001261915;0,001015221;0,002525414;0,002324676;0,002840531;0,003202091
189,10301;0,001405936;5,26E-04;0,002495253;0,002031753;0,003086791;0,002329654
190,06727;0,001609962;2,17E-04;0,002555096;0,002028833;0,003353054;0,002167221
191,03153;0,001693994;9,81E-05;0,002794944;0,002035917;0,003599321;0,002474791
191,99579;0,001518031;6,91E-05;0,003144796;0,002163004;0,003695592;0,002622366
192,96005;0,001312074;2,30E-04;0,003354653;0,002590095;0,003531866;0,002379944
193,92431;0,001236122;5,11E-04;0,003234515;0,002987189;0,003078144;0,002067525
194,88857;0,001210175;6,32E-04;0,002814381;0,002964287;0,002664425;0,00203511
195,85283;0,001144233;5,93E-04;0,002134251;0,002751387;0,00265071;0,002392699
196,81709;0,001118296;4,74E-04;0,001454126;0,002728491;0,002796997;0,002970291
197,78135;0,001362364;8,51E-05;0,001304005;0,002925598;0,002603288;0,003257886
198,74561;0,001666437;-5,94E-04;0,001813888;0,003062708;0,002279582;0,003015485
199,70988;0,001540515;-9,83E-04;0,002313775;0,003009821;0,00238588;0,002513087
200,67414;0,001144598;-6,12E-04;0,002143666;0,002896937;0,00272218;0,001950692
201,6384;0,001078685;1,39E-04;0,001583561;0,002774055;0,002638483;0,0013283
202,60266;0,001252776;5,70E-04;0,001483459;0,002561177;0,002364789;0,001135911
203,56692;0,001266872;6,61E-04;0,002133361;0,002428301;0,002551098;0,001813525
204,53118;0,001200972;8,32E-04;0,003083267;0,002695428;0,00319741;0,002881142
205,49544;0,001535076;0,00107339;0,003723176;0,003332557;0,003823725;0,003638762
206,4597;0,002299185;0,001174438;0,003613089;0,003989689;0,004010042;0,004036385
207,42396;0,002883297;0,00132549;0,003083005;0,004286824;0,003776362;0,00423401
208,38822;0,002977413;0,001576545;0,002952925;0,004133961;0,003532685;0,004211638
209,35248;0,002921534;0,001637604;0,003542848;0,0037211;0,00368901;0,003959269
210,31674;0,002845657;0,001658666;0,004342773;0,003268242;0,004085338;0,003546902
211,281;0,002679785;0,001979731;0,004822702;0,002955385;0,004211668;0,003124538
212,24527;0,002723916;0,002340799;0,004932634;0,003042532;0,003928001;0,003012176
213,20953;0,003108051;0,00240187;0,004812569;0,00339968;0,003584335;0,003169817
214,17379;0,003552189;0,002312944;0,004452506;0,00355683;0,003410672;0,003097459
215,13805;0,00390633;0,002314021;0,003922446;0,003503983;0,003277012;0,002615104
216,10231;0,004150475;0,0023251;0,003562389;0,003591137;0,003163353;0,002132751
217,06657;0,004274622;0,001966183;0,003592335;0,003848293;0,003249696;0,002040401
218,03083;0,004118773;0,001177267;0,003802282;0,004005451;0,003546042;0,002178052
218,99509;0,003552926;4,88E-04;0,003682233;0,003872611;0,003832389;0,002385705
219,95935;0,002807083;2,29E-04;0,003262185;0,003449772;0,004098739;0,002773361
220,92361;0,002381242;1,11E-04;0,00303214;0,002976935;0,00426509;0,003301018
221,88787;0,002305403;-9,84E-05;0,003112097;0,0026941;0,003911443;0,003778677
222,85213;0,002219568;-1,87E-04;0,003302056;0,002591266;0,002957798;0,004056337
223,81639;0,001933734;5,38E-05;0,003402017;0,002568434;0,002094155;0,003994
224,78066;0,001677904;5,05E-04;0,00318198;0,002555603;0,001810513;0,003531664
225,74492;0,001862075;8,16E-04;0,002681944;0,002422774;0,001766873;0,002859329
226,70918;0,002246249;8,17E-04;0,002221911;0,002239945;0,001643234;0,002396996
227,67344;0,002090424;6,78E-04;0,001941879;0,002157118;0,001599597;0,002414665
228,6377;0,001354602;5,89E-04;0,001801848;0,002164292;0,001785961;0,002692335
229,60196;7,69E-04;4,50E-04;0,001781819;0,002191468;0,001972326;0,002850006
230,56622;6,73E-04;-8,84E-05;0,001891792;0,002418644;0,001798693;0,002687678
231,53048;7,67E-04;-8,67E-04;0,002111766;0,003025821;0,001435061;0,002255352
232,49474;8,31E-04;-0,001246208;0,002381741;0,003712999;0,00142143;0,001783027
233,459;9,86E-04;-0,001045094;0,002511717;0,003880178;0,001897801;0,001700703
234,42326;0,001259705;-7,44E-04;0,002361694;0,003247358;0,002484172;0,002108379
235,38752;0,001403895;-7,93E-04;0,001871673;0,002324539;0,002750545;0,002526057
236,35178;0,001368085;-0,001081743;0,001361652;0,00199172;0,002646918;0,002463736
237,31604;0,001182277;-0,001130625;0,001351632;0,002418902;0,002283292;0,002041415
238,28031;8,96E-04;-6,70E-04;0,001701613;0,002896085;0,001779668;0,001739096
239,24457;6,11E-04;-1,58E-04;0,001941595;0,002823268;0,001316044;0,001846777
240,20883;4,95E-04;-9,73E-05;0,002041577;0,002340451;0,00110242;0,002054458
241,17309;6,79E-04;-2,56E-04;0,002191559;0,001837635;0,001198798;0,001952141
242,13735;9,93E-04;-1,75E-04;0,002401542;0,001284819;0,001225176;0,001549823
243,10161;0,001057447;8,61E-05;0,002401526;5,62E-04;9,12E-04;0,001207506
244,06587;8,32E-04;2,07E-04;0,00197151;1,29E-04;7,48E-04;0,00117519
245,03013;6,26E-04;1,38E-04;0,001231493;5,16E-04;0,001204313;0,001182874
245,99439;5,00E-04;1,09E-04;6,31E-04;0,001343557;0,001830692;9,91E-04
